Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_496,0.232848,1.000000,35,yolo569.pt,Train446,0.0,0.14285714285714285,yolo541.pt,'True',UCB,'True'
run_497,3.616284,0.700000,35,yolo570.pt,Train447,0.0,0.047619047619047616,yolo541.pt,'True',UCB,'True'
run_498,4.480512,0.900000,35,yolo571.pt,Train448,0.0,0.2857142857142857,yolo541.pt,'True',UCB,'True'
run_499,0.588834,1.000000,35,yolo572.pt,Train449,0.3333333333333333,0.7619047619047619,yolo541.pt,'True',UCB,'True'
run_500,9.437605,0.900000,36,yolo562.pt,N/A,0.1,0.5,yolo562.pt,N/A,N/A,'True'
run_501,54.889890,0.500000,36,yolo563.pt,N/A,0.1,0.1,yolo563.pt,'True',UCB,'True'
run_502,0.140203,1.000000,36,yolo564.pt,N/A,0.5,0.9,yolo564.pt,'True',UCB,'True'
run_503,30.946108,0.700000,36,yolo565.pt,N/A,0.9,0.1,yolo565.pt,'True',UCB,'True'
run_504,5.940892,0.000000,36,yolo566.pt,N/A,0.5,0.5,yolo566.pt,'True',UCB,'True'
run_505,15.113921,0.100000,36,yolo573.pt,Train451,0.38095238095238093,1.0,yolo573.pt,'True',UCB,'True'
run_506,3.548587,0.100000,36,yolo574.pt,Train452,0.7142857142857142,0.9047619047619047,yolo574.pt,'True',UCB,'True'
run_507,12.193313,0.100000,36,yolo575.pt,Train453,0.0,0.6666666666666666,yolo575.pt,'True',UCB,'True'
run_508,35.425559,0.000000,36,yolo549.pt,Train453,0.0,0.3333333333333333,yolo549.pt,'True',UCB,'True'
run_509,7.180251,0.900000,36,yolo576.pt,Train454,0.38095238095238093,0.7619047619047619,yolo576.pt,'True',UCB,'True'
run_510,5.096513,0.000000,36,yolo577.pt,Train455,0.23809523809523808,0.5714285714285714,yolo577.pt,'True',UCB,'True'
run_511,4.815344,0.900000,36,yolo578.pt,Train456,0.5238095238095237,0.8095238095238095,yolo578.pt,'True',UCB,'True'
run_512,34.842853,0.800000,36,yolo499.pt,Train456,0.38095238095238093,0.0,yolo499.pt,'True',UCB,'True'
run_513,1.349865,0.000000,36,yolo579.pt,Train457,0.6666666666666666,0.0,yolo579.pt,'True',UCB,'True'
run_514,1.701481,0.900000,36,yolo580.pt,Train458,1.0,0.3333333333333333,yolo580.pt,'True',UCB,'True'
run_515,50.989152,0.400000,36,yolo581.pt,Train459,1.0,0.19047619047619047,yolo581.pt,'True',UCB,'True'
run_516,14.698596,0.900000,36,yolo535.pt,Train459,1.0,0.5238095238095237,yolo535.pt,'True',UCB,'True'
run_517,0.136127,1.000000,36,yolo582.pt,Train460,0.8571428571428571,0.42857142857142855,yolo582.pt,'True',UCB,'True'
run_518,2.948557,0.900000,36,yolo583.pt,Train461,0.8571428571428571,0.38095238095238093,yolo583.pt,'True',UCB,'True'
run_519,11.001401,0.800000,36,yolo584.pt,Train462,0.9047619047619047,0.47619047619047616,yolo584.pt,'True',UCB,'True'
run_520,27.121640,0.000000,36,yolo555.pt,Train462,0.23809523809523808,0.0,yolo555.pt,'True',UCB,'True'
run_521,3.566826,0.000000,36,yolo585.pt,Train463,0.47619047619047616,0.8095238095238095,yolo585.pt,'True',UCB,'True'
run_522,12.034253,0.900000,36,yolo586.pt,Train464,0.8095238095238095,0.3333333333333333,yolo586.pt,'True',UCB,'True'
run_523,4.428830,0.900000,36,yolo587.pt,Train465,0.9047619047619047,0.38095238095238093,yolo587.pt,'True',UCB,'True'
run_524,0.220204,1.000000,36,yolo588.pt,Train466,1.0,0.42857142857142855,yolo588.pt,'True',UCB,'True'
run_525,1.034349,0.900000,36,yolo589.pt,Train467,1.0,0.47619047619047616,yolo589.pt,'True',UCB,'True'
run_526,4.704421,0.000000,36,yolo590.pt,Train468,0.9523809523809523,0.42857142857142855,yolo590.pt,'True',UCB,'True'
run_527,0.662126,0.000000,36,yolo591.pt,Train469,0.7142857142857142,0.2857142857142857,yolo591.pt,'True',UCB,'True'
run_528,5.681702,0.800000,36,yolo592.pt,Train470,1.0,0.7142857142857142,yolo592.pt,'True',UCB,'True'
run_529,0.098678,1.000000,36,yolo593.pt,Train471,0.8095238095238095,0.5714285714285714,yolo593.pt,'True',UCB,'True'
run_530,7.074535,0.900000,37,yolo594.pt,Train472,0.47619047619047616,0.9523809523809523,yolo594.pt,N/A,N/A,'True'
run_531,7.436099,0.800000,37,yolo595.pt,Train473,0.5714285714285714,0.9047619047619047,yolo595.pt,'True',EI,'True'
run_532,4.411867,0.800000,37,yolo596.pt,Train474,0.38095238095238093,0.9047619047619047,yolo596.pt,'True',EI,'True'
run_533,0.183860,1.000000,37,yolo449.pt,Train474,0.0,0.5238095238095237,yolo449.pt,'True',EI,'True'
run_534,2.966859,0.800000,37,yolo523.pt,Train474,0.0,0.5714285714285714,yolo523.pt,'True',EI,'True'
run_535,10.268318,0.600000,37,yolo452.pt,Train474,0.0,0.42857142857142855,yolo452.pt,'True',EI,'True'
run_536,52.134774,0.600000,37,yolo597.pt,Train475,0.09523809523809523,0.6190476190476191,yolo597.pt,'True',EI,'True'
run_537,3.333566,0.900000,37,yolo598.pt,Train476,0.47619047619047616,1.0,yolo598.pt,'True',EI,'True'
run_538,1.846430,0.900000,37,yolo599.pt,Train477,0.5238095238095237,1.0,yolo599.pt,'True',EI,'True'
run_539,4.648941,0.800000,37,yolo522.pt,Train477,0.42857142857142855,1.0,yolo522.pt,'True',EI,'True'
run_540,3.751929,0.900000,37,yolo600.pt,Train478,0.5238095238095237,0.9523809523809523,yolo600.pt,'True',EI,'True'
run_541,0.664498,0.900000,37,yolo601.pt,Train479,0.5238095238095237,0.9047619047619047,yolo601.pt,'True',EI,'True'
run_542,0.381444,1.000000,37,yolo602.pt,Train480,0.47619047619047616,0.9047619047619047,yolo602.pt,'True',EI,'True'
run_543,6.632440,0.900000,37,yolo603.pt,Train481,0.47619047619047616,0.8571428571428571,yolo603.pt,'True',EI,'True'
run_544,30.834593,0.000000,37,yolo604.pt,Train482,0.6190476190476191,0.0,yolo604.pt,'True',EI,'True'
run_545,5.230486,0.900000,37,yolo550.pt,Train482,1.0,0.2857142857142857,yolo550.pt,'True',EI,'True'
run_546,1.825587,0.900000,37,yolo605.pt,Train483,1.0,0.47619047619047616,yolo605.pt,'True',EI,'True'
run_547,0.365041,1.000000,37,yolo606.pt,Train484,1.0,0.3333333333333333,yolo606.pt,'True',EI,'True'
run_548,4.955804,0.600000,37,yolo607.pt,Train485,1.0,0.38095238095238093,yolo607.pt,'True',EI,'True'
run_549,2.753842,0.200000,37,yolo608.pt,Train488,1.0,0.7142857142857142,yolo608.pt,N/A,N/A,'True'
run_550,27.011405,0.800000,37,yolo609.pt,Train489,1.0,0.14285714285714285,yolo609.pt,'True',EI,'True'
run_551,30.729989,0.000000,37,yolo610.pt,Train490,0.5238095238095237,0.8571428571428571,yolo610.pt,'True',EI,'True'
run_552,0.654129,1.000000,37,yolo611.pt,Train491,0.5714285714285714,1.0,yolo611.pt,'True',EI,'True'
run_553,0.332827,1.000000,37,yolo612.pt,Train492,0.6190476190476191,1.0,yolo612.pt,'True',EI,'True'
run_554,23.104058,0.000000,37,yolo613.pt,Train493,0.6666666666666666,1.0,yolo613.pt,'True',EI,'True'
run_555,6.878683,0.900000,36,yolo614.pt,Train494,0.8095238095238095,0.6190476190476191,yolo614.pt,N/A,N/A,'True'
run_556,5.634417,0.800000,36,yolo615.pt,Train495,0.7619047619047619,0.5714285714285714,yolo615.pt,'True',UCB,'True'
run_557,7.412840,0.900000,36,yolo616.pt,Train496,0.8571428571428571,0.5714285714285714,yolo616.pt,'True',UCB,'True'
run_558,3.870132,0.800000,36,yolo617.pt,Train497,0.9047619047619047,0.6190476190476191,yolo617.pt,'True',UCB,'True'
run_559,43.754313,0.000000,36,yolo618.pt,Train498,0.8095238095238095,0.5238095238095237,yolo618.pt,'True',UCB,'True'
run_560,36.526224,0.800000,36,yolo619.pt,Train499,1.0,0.6190476190476191,yolo619.pt,N/A,N/A,'True'
run_561,0.162322,1.000000,36,yolo620.pt,Train500,0.8571428571428571,0.7142857142857142,yolo620.pt,'True',UCB,'True'
run_562,8.074348,0.000000,36,yolo621.pt,Train501,0.8095238095238095,0.7142857142857142,yolo621.pt,'True',UCB,'True'
run_563,16.284264,0.700000,36,yolo622.pt,Train502,1.0,0.6666666666666666,yolo622.pt,'True',UCB,'True'
run_564,3.961280,0.800000,36,yolo533.pt,Train502,1.0,1.0,yolo533.pt,'True',UCB,'True'
run_565,51.724827,0.700000,36,yolo533.pt,Train502,1.0,1.0,yolo533.pt,'True',UCB,'True'
